model,Train Strict Accuracy (%)_mean,Train Strict Accuracy (%)_moe,Train ±1 Grade Accuracy (%)_mean,Train ±1 Grade Accuracy (%)_moe,Val Strict Accuracy (%)_mean,Val Strict Accuracy (%)_moe,Val ±1 Grade Accuracy (%)_mean,Val ±1 Grade Accuracy (%)_moe
adaboost_deepset,46.3196,0.24385605646593853,83.1732,0.2703883565424507,45.010799999999996,0.32908649530098016,81.644,0.3135088410078
adaboost_deepset_xy,46.0512,0.24894963124770791,83.25720000000001,0.2222999198932372,44.656800000000004,0.2935037918122348,81.7788,0.24759133667570143
adaboost_deepset_xy_additive,45.09439999999999,0.2931900423859626,81.99,0.2342411213888856,43.5204,0.27493390978970084,79.7612,0.26509200332256405
adaboost_set_transformer,52.343999999999994,0.2581633794730295,84.36200000000001,0.17047269061851764,46.766400000000004,0.3815717739638045,81.554,0.2690836194962231
adaboost_set_transformer_additive,48.6624,0.2366362083541741,82.7288,0.17409209677859225,45.565200000000004,0.4236996923054957,81.0816,0.25562275915397675
adaboost_set_transformer_xy,52.2236,0.25820429605296613,84.4076,0.12456147915563927,46.352799999999995,0.2893571062262602,81.5948,0.23183170281272514
deepset,45.24880000000001,0.5026250831005779,82.5204,0.5302324782659386,42.833200000000005,0.41835198389103917,80.1412,0.5565199811334364
deepset_xy,45.445600000000006,0.4294514183027149,82.778,0.6020101179758788,42.9728,0.3987875745841102,80.56559999999999,0.6509357198433733
deepset_xy_additive,44.9888,0.6578543198395124,82.1444,0.8572172543098491,42.8624,0.5168315200268965,80.2008,0.8663277579665147
gbm_ensemble_all,80.73639999999999,0.22439263526451972,95.53720000000001,0.11144109424434438,48.8112,0.3164689029093442,82.96039999999999,0.2462404266976894
gbm_ensemble_deepset,64.66239999999999,0.15607258602184326,87.4604,0.09511475271025738,46.5916,0.2697547265272493,80.82639999999999,0.1570276455025943
gbm_ensemble_set_transformer,79.3032,0.24043228297755678,94.692,0.13273290925707448,48.8028,0.28891267607159327,83.134,0.22861810981614966
geometric_mean_ensemble_all,61.942,0.3011099977569844,89.28199999999998,0.18038756799203365,47.0212,0.2464013687730432,83.27279999999999,0.22951541863363323
geometric_mean_ensemble_deepset,45.465599999999995,0.24199325784805367,83.194,0.3153287596842114,43.312,0.23584500381985798,80.872,0.32477615140089877
geometric_mean_ensemble_set_transformer,67.0424,0.45294506736960655,91.5644,0.2268069580696881,47.6228,0.33105370410355284,83.3504,0.26436029727730204
lightgbm_ensemble_all,99.92559999999999,0.010861153833964387,100.0,0.0,48.74320000000001,0.2657190113819672,82.9796,0.22206333679707166
lightgbm_ensemble_deepset,94.50600000000003,0.12286698602315498,99.56680000000001,0.028341869067431323,44.5968,0.3111441911702289,79.79560000000001,0.21365115315753022
lightgbm_ensemble_set_transformer,99.8144,0.026352248231269568,100.0,0.0,48.74879999999999,0.33659968874701895,83.056,0.3027348285453037
median_ensemble_all,53.81040000000001,0.3497267434428168,86.164,0.2686267910909049,45.2792,0.19733690996754774,82.36,0.276818992034232
median_ensemble_deepset,45.355199999999996,0.24027691598712836,83.0748,0.334930994927892,43.15879999999999,0.2133194008460108,80.73,0.3766977688979651
median_ensemble_set_transformer,65.6636,0.4222272407478466,90.88799999999999,0.2588225351138318,46.848800000000004,0.4047966153502259,82.5696,0.32092456830210375
set_transformer,62.14759999999999,0.526645121744102,88.60960000000001,0.4565392758498657,44.4424,0.5430645942653466,79.91120000000001,0.5857525924324858
set_transformer_additive,55.39679999999999,0.9529616041644142,86.31240000000001,0.6211777872912849,44.4176,0.8353192522115862,80.4948,0.5884682607819345
set_transformer_xy,61.78,0.670692939770658,88.8192,0.5271229789206588,44.316399999999994,0.625491668985376,79.8884,0.5927794052771745
soft_voting_ensemble_all,62.7384,0.3520034915094756,89.0548,0.21270548322212515,46.614,0.2495354932112572,82.5916,0.24601601596167524
soft_voting_ensemble_deepset,45.47879999999999,0.2436021725096533,83.116,0.3205516418055875,43.27880000000001,0.2288332735393971,80.7956,0.33601865911545065
soft_voting_ensemble_set_transformer,66.916,0.4601691609479626,91.17040000000001,0.24195042139769282,47.074,0.30643160052315616,82.454,0.3088201976203326
stacking_ensemble_all,69.6904,0.34531204373777125,93.49959999999999,0.1393270644204238,49.3952,0.2765935180090217,83.6864,0.22515068052922083
stacking_ensemble_deepset,48.958,0.06988869679248144,83.17,0.07932819942610399,47.4736,0.16520164012211055,81.4944,0.14757514558432513
stacking_ensemble_set_transformer,68.63,0.3584158580439304,92.58840000000001,0.14603537190133065,49.487199999999994,0.2771253505065757,83.7896,0.31933004225545497
trimmed_mean_ensemble_all,59.959599999999995,0.31783028220319665,87.9816,0.20492160472002124,46.29679999999999,0.2293025049836677,82.71320000000001,0.24000670446616876
trimmed_mean_ensemble_deepset,45.47879999999999,0.2436021725096533,83.116,0.3205516418055875,43.27880000000001,0.2288332735393971,80.7956,0.33601865911545065
trimmed_mean_ensemble_set_transformer,66.916,0.4601691609479626,91.17040000000001,0.24195042139769282,47.074,0.30643160052315616,82.454,0.3088201976203326
xgboost_ensemble_all,83.472,0.246388921418875,96.81279999999998,0.11270801200989589,48.783199999999994,0.3203870869042413,83.02680000000001,0.2679618672935309
xgboost_ensemble_deepset,59.912,0.1906026431253007,87.06440000000002,0.09391743890626017,47.2672,0.19597445913852019,81.1628,0.19211085923145732
xgboost_ensemble_set_transformer,80.9708,0.2921003972489857,95.76839999999999,0.13861287789778218,48.86999999999999,0.341361584645539,83.1172,0.2659961989266857
