model,P(>V4),P(>V5),P(>V6),P(>V7),P(>V8),P(>V9)
deepset_ordinal,81.370400390625,80.59120025634766,83.75519927978516,87.69160034179687,92.79720031738282,97.0215966796875
deepset_ordinal_xy,81.40159912109375,80.64280029296874,83.81600006103515,87.71640014648438,92.73839996337891,97.01759704589844
deepset_ordinal_xy_additive,81.20959991455078,80.54079986572266,83.84039978027344,87.50440032958984,92.72919982910156,97.01599700927734
ordinal_adaboost_ensemble_all,84.180400390625,82.43359985351563,85.83240020751953,88.59119995117187,93.04239929199218,97.03559753417969
ordinal_adaboost_ensemble_deepset,81.50200012207031,80.85759979248047,83.85640045166015,87.81319946289062,92.79920043945313,97.01799682617188
ordinal_adaboost_ensemble_set_transformer,84.5016000366211,83.10479888916015,86.42480041503906,88.98800048828124,93.14519958496093,97.0175994873047
ordinal_gbm_ensemble_all,83.98039947509766,82.49000030517578,85.80640014648438,88.56199920654296,92.75800048828125,96.57239990234375
ordinal_gbm_ensemble_deepset,81.53800018310547,80.56,83.69040008544921,87.47000030517579,92.47960021972656,96.56640045166016
ordinal_gbm_ensemble_set_transformer,84.18640045166016,82.62720001220703,85.91840026855469,88.510400390625,92.71320098876953,96.56840026855468
ordinal_soft_voting_ensemble_all,84.180400390625,82.43359985351563,85.83240020751953,88.59119995117187,93.04239929199218,97.03559753417969
ordinal_soft_voting_ensemble_deepset,81.50200012207031,80.85759979248047,83.85640045166015,87.81319946289062,92.79920043945313,97.01799682617188
ordinal_soft_voting_ensemble_set_transformer,84.5016000366211,83.10479888916015,86.42480041503906,88.98800048828124,93.14519958496093,97.0175994873047
ordinal_stacking_ensemble_all,84.41320068359374,82.60600036621094,85.79160034179688,88.78439971923828,92.9275991821289,96.76279998779297
ordinal_stacking_ensemble_deepset,81.69800048828125,80.90960021972656,83.86519958496093,87.76760009765626,92.77400054931641,96.99559844970703
ordinal_stacking_ensemble_set_transformer,84.35079986572265,82.86799987792969,86.21840057373046,88.97759918212891,92.99399993896485,96.69360046386718
ordinal_xgboost_ensemble_all,83.69319946289062,82.2216000366211,85.55439910888671,88.2975994873047,92.70839996337891,96.59000030517578
ordinal_xgboost_ensemble_deepset,80.86240020751953,79.79520050048828,83.35119995117188,87.08400024414063,92.39480010986328,96.56919982910156
ordinal_xgboost_ensemble_set_transformer,83.68120025634765,82.38919921875,85.74240112304688,88.40480010986329,92.68479919433594,96.54279968261719
set_transformer_ordinal,83.39959991455078,81.27599975585937,84.51279998779297,87.5652001953125,92.5028009033203,96.67800018310547
set_transformer_ordinal_xy,83.26560119628907,81.89439971923828,84.78119934082031,87.58960021972656,92.47440002441407,96.63440032958984
set_transformer_ordinal_xy_additive,83.19559997558594,82.06760040283203,85.06120025634766,87.8647998046875,92.67920013427734,96.86599945068359
