model,P(>V4),P(>V5),P(>V6),P(>V7),P(>V8),P(>V9)
deepset_ordinal,81.51 ± 0.39,80.77 ± 0.32,83.81 ± 0.23,87.65 ± 0.20,92.69 ± 0.19,97.02 ± 0.01
deepset_ordinal_xy,81.51 ± 0.42,80.71 ± 0.23,83.80 ± 0.27,87.65 ± 0.22,92.70 ± 0.13,97.02 ± 0.02
deepset_ordinal_xy_additive,81.31 ± 0.37,80.71 ± 0.44,83.86 ± 0.28,87.62 ± 0.26,92.73 ± 0.19,97.01 ± 0.02
ordinal_adaboost_ensemble,84.06 ± 0.31,82.38 ± 0.34,85.81 ± 0.31,88.73 ± 0.28,93.10 ± 0.22,97.04 ± 0.03
ordinal_gbm_ensemble,83.91 ± 0.57,82.61 ± 0.39,85.87 ± 0.69,88.55 ± 0.39,92.75 ± 0.30,96.53 ± 0.21
ordinal_geometric_mean_ensemble,83.93 ± 0.36,82.55 ± 0.29,85.73 ± 0.38,88.56 ± 0.32,93.04 ± 0.17,97.03 ± 0.03
ordinal_lightgbm_ensemble,83.52 ± 0.54,82.35 ± 0.46,85.68 ± 0.69,88.42 ± 0.43,92.79 ± 0.34,96.59 ± 0.19
ordinal_median_ensemble,83.01 ± 0.33,81.77 ± 0.30,84.83 ± 0.31,88.25 ± 0.29,92.92 ± 0.20,97.02 ± 0.00
ordinal_soft_voting_ensemble,84.06 ± 0.31,82.38 ± 0.34,85.81 ± 0.31,88.73 ± 0.28,93.10 ± 0.22,97.04 ± 0.03
ordinal_stacking_ensemble,84.20 ± 0.50,82.51 ± 0.56,85.84 ± 0.62,88.87 ± 0.39,92.91 ± 0.32,96.72 ± 0.18
ordinal_trimmed_mean_ensemble,83.76 ± 0.36,82.23 ± 0.35,85.52 ± 0.26,88.60 ± 0.29,93.05 ± 0.22,97.03 ± 0.02
ordinal_xgboost_ensemble,83.40 ± 0.44,82.13 ± 0.48,85.60 ± 0.64,88.30 ± 0.41,92.69 ± 0.30,96.53 ± 0.23
set_transformer_ordinal,83.25 ± 0.59,81.26 ± 0.71,84.44 ± 0.64,87.36 ± 0.45,92.51 ± 0.48,96.69 ± 0.25
set_transformer_ordinal_xy,83.38 ± 0.58,81.88 ± 0.56,85.07 ± 0.63,87.71 ± 0.50,92.50 ± 0.60,96.62 ± 0.35
set_transformer_ordinal_xy_additive,83.39 ± 0.59,81.99 ± 0.64,85.11 ± 0.40,88.06 ± 0.45,92.56 ± 0.53,96.80 ± 0.19
