Model Type,Train Strict Mean (%),Train Strict Std (%),Train ±1 Grade Mean (%),Train ±1 Grade Std (%),Val Strict Mean (%),Val Strict Std (%),Val ±1 Grade Mean (%),Val ±1 Grade Std (%)
stacking_ensemble_deepset,48.556,0.227,84.398,0.128,47.332,0.318,82.628,0.249
geometric_mean_ensemble_all,61.962,0.705,89.178,0.457,47.138,0.516,83.297,0.445
xgboost_ensemble_deepset,60.141,0.369,87.16,0.286,47.349,0.525,81.026,0.395
median_ensemble_all,53.906,0.827,86.104,0.711,45.361,0.537,82.412,0.66
median_ensemble_deepset,45.543,0.562,83.056,0.911,43.334,0.537,80.824,0.941
geometric_mean_ensemble_deepset,45.558,0.53,83.095,0.884,43.444,0.544,80.874,0.925
soft_voting_ensemble_deepset,45.562,0.533,83.05,0.857,43.401,0.567,80.807,0.924
trimmed_mean_ensemble_deepset,45.562,0.533,83.05,0.857,43.401,0.567,80.807,0.924
gbm_ensemble_deepset,64.787,0.378,87.528,0.247,46.562,0.641,80.678,0.473
soft_voting_ensemble_all,62.71,0.732,88.924,0.524,46.893,0.643,82.581,0.587
trimmed_mean_ensemble_all,60.145,0.688,87.921,0.533,46.422,0.644,82.724,0.53
lightgbm_ensemble_deepset,94.431,0.443,99.604,0.065,44.943,0.698,79.886,0.523
xgboost_ensemble_set_transformer,81.302,0.577,95.892,0.248,48.974,0.724,83.17,0.731
adaboost_deepset_xy_additive,45.178,0.593,82.182,0.587,43.709,0.733,80.152,0.664
xgboost_ensemble_all,83.647,0.541,96.925,0.253,48.853,0.74,83.147,0.617
soft_voting_ensemble_set_transformer,66.879,0.698,90.995,0.611,47.167,0.745,82.36,0.715
trimmed_mean_ensemble_set_transformer,66.879,0.698,90.995,0.611,47.167,0.745,82.36,0.715
gbm_ensemble_set_transformer,79.387,0.626,94.857,0.298,48.728,0.764,83.255,0.677
lightgbm_ensemble_set_transformer,99.822,0.053,100,0,48.753,0.796,83.182,0.589
adaboost_deepset,46.643,0.525,83.504,0.65,45.218,0.833,82.013,0.725
gbm_ensemble_all,80.853,0.585,95.624,0.27,48.843,0.838,83.276,0.572
stacking_ensemble_set_transformer,72.484,0.668,94.045,0.303,48.803,0.86,83.729,0.687
adaboost_set_transformer_xy,52.292,0.498,84.301,0.412,46.293,0.861,81.588,0.564
adaboost_set_transformer_additive,48.726,0.869,82.944,0.56,45.363,0.868,81.234,0.654
adaboost_set_transformer,52.571,0.503,84.4,0.418,46.624,0.875,81.324,0.714
deepset,45.485,1.046,82.602,1.59,43.111,0.887,80.398,1.712
geometric_mean_ensemble_set_transformer,67.234,0.723,91.504,0.555,47.808,0.892,83.201,0.724
stacking_ensemble_all,69.968,0.996,94.646,0.305,47.811,0.924,83.813,0.557
lightgbm_ensemble_all,99.928,0.025,100,0,48.693,0.939,83.153,0.754
deepset_xy,45.02,1.18,82.381,1.364,42.564,0.967,80.087,1.369
adaboost_deepset_xy,46.539,0.571,83.102,0.567,45.088,0.985,81.563,0.798
median_ensemble_set_transformer,65.574,0.605,90.773,0.524,46.897,1.036,82.518,0.722
set_transformer_xy,62.096,1.299,88.759,1.2,44.564,1.22,80.004,1.317
set_transformer,61.149,1.512,88.003,1.411,43.765,1.33,78.928,1.383
set_transformer_additive,56.39,1.075,86.807,1.054,44.989,1.353,80.739,1.43
deepset_xy_additive,45.55,1.194,82.439,1.73,43.299,1.364,80.477,1.886
