model,Train Strict Accuracy (%),Train ±1 Grade Accuracy (%),Val Strict Accuracy (%),Val ±1 Grade Accuracy (%)
set_transformer,63.27,89.29,44.61,80.46
deepset,46.69,83.38,43.98,81.38
set_transformer_xy,62.43,88.8,45.96,81.18
deepset_xy,42.89,81.35,40.66,78.87
set_transformer_additive,59.27,88.71,47.98,83.35
deepset_xy_additive,44.37,81.01,42.11,78.78
adaboost_deepset,46.67,83.3,45.38,82.15
adaboost_deepset_xy_additive,44.52,82.36,43.12,80.37
adaboost_deepset_xy,45.32,83.31,44.03,82.39
adaboost_set_transformer,51.93,83.95,46.87,81.91
adaboost_set_transformer_additive,48.28,82.78,43.12,80.41
adaboost_set_transformer_xy,51.91,84.98,46.68,81.38
soft_voting_ensemble_all,64.25,89.17,48.6,84.02
stacking_ensemble_all,70.89,94.8,47.88,84.22
gbm_ensemble_all,80.78,95.33,48.8,82.58
soft_voting_ensemble_set_transformer,68.26,91.41,49.47,83.88
stacking_ensemble_set_transformer,73.74,93.94,50.05,84.07
gbm_ensemble_set_transformer,79.39,94.37,48.51,83.83
soft_voting_ensemble_deepset,45.08,82.41,42.69,80.08
stacking_ensemble_deepset,48.48,84.45,47.21,82.87
gbm_ensemble_deepset,64.87,87.47,46.1,79.79
set_transformer,59.6,88.19,42.69,79.6
deepset,41.66,78.57,39.99,76.52
set_transformer_xy,61.91,88.24,44.37,79.88
deepset_xy,43.65,80.81,41.72,79.02
set_transformer_additive,56.4,87.51,46.39,80.75
deepset_xy_additive,45.19,82.49,43.21,80.27
adaboost_deepset,46.26,83.41,45.57,82.48
adaboost_deepset_xy_additive,44.66,81.97,44.23,79.64
adaboost_deepset_xy,45.42,83.14,44.71,81.42
adaboost_set_transformer,52.78,84.13,46.05,80.61
adaboost_set_transformer_additive,49.69,83.16,45.67,81.47
adaboost_set_transformer_xy,52.06,84.5,43.65,82.24
soft_voting_ensemble_all,61.62,88.09,46.39,83.45
stacking_ensemble_all,70.76,94.73,48.17,84.02
gbm_ensemble_all,80.19,95.28,48.56,83.64
soft_voting_ensemble_set_transformer,66.58,90.75,47.21,83.4
stacking_ensemble_set_transformer,73.57,94.28,49.37,84.02
gbm_ensemble_set_transformer,78.81,94.68,48.65,84.94
soft_voting_ensemble_deepset,43.9,81.47,41.82,79.21
stacking_ensemble_deepset,48.74,84.48,47.35,83.01
gbm_ensemble_deepset,64.44,87.29,46.39,80.94
set_transformer,60.69,87.27,44.37,78.59
deepset,46.41,84.4,43.94,81.91
set_transformer_xy,63.37,89.35,44.03,80.8
deepset_xy,43.48,80.85,42.49,78.78
set_transformer_additive,55.64,87.55,44.56,81.91
deepset_xy_additive,45.73,81.9,43.26,80.13
adaboost_deepset,47.0,83.92,45.09,82.24
adaboost_deepset_xy_additive,46.39,81.64,45.0,80.13
adaboost_deepset_xy,46.46,82.91,45.52,81.76
adaboost_set_transformer,53.02,84.43,46.49,81.38
adaboost_set_transformer_additive,49.21,82.86,44.75,80.75
adaboost_set_transformer_xy,52.48,84.62,46.68,81.86
soft_voting_ensemble_all,62.86,89.18,46.87,82.77
stacking_ensemble_all,70.87,94.98,49.37,83.3
gbm_ensemble_all,81.07,95.67,50.24,83.4
soft_voting_ensemble_set_transformer,66.63,91.06,46.87,83.16
stacking_ensemble_set_transformer,73.63,94.07,48.94,83.4
gbm_ensemble_set_transformer,79.65,94.95,49.66,83.73
soft_voting_ensemble_deepset,45.56,82.97,43.41,81.38
stacking_ensemble_deepset,48.45,84.37,46.92,82.72
gbm_ensemble_deepset,63.78,87.51,46.34,80.08
set_transformer,62.06,89.13,44.66,80.27
deepset,44.72,79.96,42.06,77.24
set_transformer_xy,60.46,87.17,44.18,78.59
deepset_xy,45.48,81.24,42.2,78.78
set_transformer_additive,55.88,85.66,44.56,81.23
deepset_xy_additive,44.4,81.83,41.77,79.98
adaboost_deepset,47.23,82.84,45.77,81.18
adaboost_deepset_xy_additive,44.99,82.56,44.08,80.46
adaboost_deepset_xy,47.16,83.68,46.01,82.1
adaboost_set_transformer,52.8,84.86,46.68,82.24
adaboost_set_transformer_additive,48.6,83.09,45.28,80.8
adaboost_set_transformer_xy,52.48,84.65,46.68,80.9
soft_voting_ensemble_all,62.23,88.29,46.82,81.95
stacking_ensemble_all,69.74,94.89,46.78,83.35
gbm_ensemble_all,80.93,95.6,49.04,82.82
soft_voting_ensemble_set_transformer,66.86,90.75,47.88,83.25
stacking_ensemble_set_transformer,72.64,94.25,48.56,83.64
gbm_ensemble_set_transformer,79.49,94.84,48.94,83.21
soft_voting_ensemble_deepset,45.17,81.41,42.69,79.21
stacking_ensemble_deepset,49.01,84.43,46.68,82.82
gbm_ensemble_deepset,64.67,87.94,46.05,80.46
set_transformer,61.84,89.64,45.62,81.91
deepset,44.96,82.89,42.69,80.51
set_transformer_xy,61.66,88.07,43.46,78.54
deepset_xy,43.96,80.46,42.01,78.2
set_transformer_additive,57.79,86.55,44.95,80.56
deepset_xy_additive,43.94,80.22,41.87,77.72
adaboost_deepset,46.9,82.83,46.29,80.94
adaboost_deepset_xy_additive,45.49,81.29,43.84,78.06
adaboost_deepset_xy,46.9,83.25,45.33,82.1
adaboost_set_transformer,52.36,84.26,46.63,80.37
adaboost_set_transformer_additive,48.19,83.01,45.96,80.51
adaboost_set_transformer_xy,52.19,83.63,45.04,80.75
soft_voting_ensemble_all,61.99,88.46,45.67,82.15
stacking_ensemble_all,70.04,94.5,47.11,83.21
gbm_ensemble_all,80.05,95.28,48.85,83.21
soft_voting_ensemble_set_transformer,67.04,91.28,46.39,82.48
stacking_ensemble_set_transformer,72.72,93.79,47.79,83.21
gbm_ensemble_set_transformer,78.6,94.63,48.46,83.06
soft_voting_ensemble_deepset,44.83,81.48,42.54,79.11
stacking_ensemble_deepset,48.75,84.44,46.92,82.72
gbm_ensemble_deepset,64.31,87.24,47.55,81.62
set_transformer,61.48,88.64,45.43,79.31
deepset,44.19,81.67,43.07,79.4
set_transformer_xy,64.19,90.32,45.43,81.33
deepset_xy,45.26,83.59,43.12,81.47
set_transformer_additive,55.26,86.64,42.59,78.78
deepset_xy_additive,46.94,84.14,44.75,82.53
adaboost_deepset,46.61,83.0,44.85,80.65
adaboost_deepset_xy_additive,45.61,82.01,43.55,79.84
adaboost_deepset_xy,46.25,83.97,44.51,82.29
adaboost_set_transformer,52.91,84.4,45.96,81.18
adaboost_set_transformer_additive,47.73,83.21,45.62,81.71
adaboost_set_transformer_xy,51.76,84.42,46.58,81.04
soft_voting_ensemble_all,63.87,89.77,47.21,82.53
stacking_ensemble_all,69.95,94.89,46.87,82.44
gbm_ensemble_all,80.95,95.69,48.8,82.82
soft_voting_ensemble_set_transformer,67.71,91.77,47.02,82.15
stacking_ensemble_set_transformer,73.07,94.13,49.13,83.64
gbm_ensemble_set_transformer,79.3,94.84,48.41,82.82
soft_voting_ensemble_deepset,45.75,83.83,43.84,81.67
stacking_ensemble_deepset,48.62,84.6,47.59,82.68
gbm_ensemble_deepset,64.86,87.62,47.21,81.57
set_transformer,63.45,87.85,43.21,78.59
deepset,45.73,82.31,42.78,80.32
set_transformer_xy,60.61,86.28,44.42,77.53
deepset_xy,45.67,82.97,42.54,80.61
set_transformer_additive,55.76,85.55,46.44,79.55
deepset_xy_additive,46.35,83.95,44.23,82.58
adaboost_deepset,47.05,83.43,45.62,82.05
adaboost_deepset_xy_additive,46.16,81.59,44.08,79.16
adaboost_deepset_xy,46.61,82.92,45.67,82.0
adaboost_set_transformer,51.4,83.79,46.78,80.9
adaboost_set_transformer_additive,49.74,83.09,45.77,80.51
adaboost_set_transformer_xy,52.96,83.38,47.4,80.94
soft_voting_ensemble_all,63.19,88.34,47.06,81.91
stacking_ensemble_all,70.75,94.78,47.55,82.92
gbm_ensemble_all,80.89,95.55,48.85,82.96
soft_voting_ensemble_set_transformer,67.27,90.11,47.59,81.86
stacking_ensemble_set_transformer,73.56,94.25,48.7,83.06
gbm_ensemble_set_transformer,80.0,95.03,48.94,83.16
soft_voting_ensemble_deepset,46.28,83.75,43.65,81.62
stacking_ensemble_deepset,49.1,84.33,47.35,82.96
gbm_ensemble_deepset,64.56,87.4,46.29,80.51
set_transformer,62.56,86.84,42.64,76.8
deepset,45.73,83.81,43.26,80.9
set_transformer_xy,62.54,89.22,44.08,81.09
deepset_xy,45.28,82.95,42.78,80.61
set_transformer_additive,55.8,86.17,42.11,78.87
deepset_xy_additive,46.41,84.3,43.7,81.91
adaboost_deepset,47.74,82.91,46.29,82.05
adaboost_deepset_xy_additive,45.76,83.55,44.9,81.71
adaboost_deepset_xy,46.28,83.47,45.86,80.99
adaboost_set_transformer,52.9,84.55,46.97,81.76
adaboost_set_transformer_additive,48.35,82.88,44.56,80.7
adaboost_set_transformer_xy,52.27,85.02,47.45,83.06
soft_voting_ensemble_all,63.89,89.29,47.11,81.76
stacking_ensemble_all,71.89,95.29,46.97,83.54
gbm_ensemble_all,81.32,95.67,48.8,83.25
soft_voting_ensemble_set_transformer,67.74,90.43,46.54,81.09
stacking_ensemble_set_transformer,74.85,94.8,49.33,83.78
gbm_ensemble_set_transformer,80.18,95.04,49.23,83.78
soft_voting_ensemble_deepset,45.91,84.01,43.74,81.28
stacking_ensemble_deepset,48.8,84.68,47.83,82.77
gbm_ensemble_deepset,64.27,87.33,47.4,79.88
set_transformer,61.93,88.23,44.27,79.11
deepset,44.22,83.36,41.92,80.9
set_transformer_xy,62.64,88.46,44.18,80.03
deepset_xy,46.93,83.36,45.81,81.52
set_transformer_additive,56.29,87.22,45.24,81.04
deepset_xy_additive,45.66,81.53,42.59,79.6
adaboost_deepset,47.69,83.2,46.29,81.76
adaboost_deepset_xy_additive,45.42,82.02,44.13,80.27
adaboost_deepset_xy,46.27,83.55,45.48,82.0
adaboost_set_transformer,52.59,84.46,46.44,81.33
adaboost_set_transformer_additive,48.89,82.41,45.43,80.46
adaboost_set_transformer_xy,51.95,84.95,46.1,81.42
soft_voting_ensemble_all,64.02,88.9,48.17,83.25
stacking_ensemble_all,71.85,95.02,48.41,83.59
gbm_ensemble_all,81.26,95.67,48.75,84.22
soft_voting_ensemble_set_transformer,68.13,91.13,48.6,83.35
stacking_ensemble_set_transformer,74.28,94.34,49.42,83.54
gbm_ensemble_set_transformer,79.66,94.77,49.09,84.12
soft_voting_ensemble_deepset,45.57,83.39,43.17,81.04
stacking_ensemble_deepset,48.86,84.44,47.26,82.53
gbm_ensemble_deepset,64.71,87.69,45.67,81.23
set_transformer,62.5,88.75,44.37,81.14
deepset,45.21,82.11,42.49,80.17
set_transformer_xy,60.79,86.74,43.36,78.06
deepset_xy,44.73,82.71,43.12,80.51
set_transformer_additive,54.6,83.84,45.04,78.2
deepset_xy_additive,45.34,81.85,43.12,79.88
adaboost_deepset,47.2,82.19,46.49,82.15
adaboost_deepset_xy_additive,45.48,81.58,44.61,79.6
adaboost_deepset_xy,45.09,84.09,43.98,82.96
adaboost_set_transformer,52.5,84.71,47.59,82.24
adaboost_set_transformer_additive,49.4,82.89,45.04,82.0
adaboost_set_transformer_xy,52.26,84.09,46.05,81.52
soft_voting_ensemble_all,61.96,87.46,46.92,81.09
stacking_ensemble_all,70.91,94.18,46.68,83.35
gbm_ensemble_all,80.17,95.21,48.6,82.63
soft_voting_ensemble_set_transformer,66.47,89.47,46.63,80.61
stacking_ensemble_set_transformer,72.23,93.33,47.45,83.64
gbm_ensemble_set_transformer,78.59,94.31,48.03,82.58
soft_voting_ensemble_deepset,45.37,82.5,43.12,80.32
stacking_ensemble_deepset,48.89,84.62,47.45,82.77
gbm_ensemble_deepset,65.04,87.81,45.72,81.09
set_transformer,63.26,89.75,44.37,80.94
deepset,44.93,81.48,42.25,79.16
set_transformer_xy,61.62,88.19,44.03,80.03
deepset_xy,46.7,82.55,43.55,80.32
set_transformer_additive,56.38,84.3,44.66,79.64
deepset_xy_additive,45.57,82.97,43.21,80.9
adaboost_deepset,46.9,83.51,45.14,80.94
adaboost_deepset_xy_additive,46.39,82.53,43.12,80.17
adaboost_deepset_xy,46.71,83.54,44.56,82.0
adaboost_set_transformer,53.36,85.05,47.83,81.09
adaboost_set_transformer_additive,50.52,83.5,45.0,81.57
adaboost_set_transformer_xy,52.52,84.06,46.39,80.32
soft_voting_ensemble_all,62.92,88.87,46.58,82.24
stacking_ensemble_all,73.12,95.25,47.83,83.54
gbm_ensemble_all,81.29,95.61,49.47,83.59
soft_voting_ensemble_set_transformer,67.8,91.38,47.83,82.58
stacking_ensemble_set_transformer,74.15,94.36,48.12,83.59
gbm_ensemble_set_transformer,80.13,94.99,48.94,83.16
soft_voting_ensemble_deepset,45.69,82.66,43.65,80.61
stacking_ensemble_deepset,48.68,84.5,48.56,83.16
gbm_ensemble_deepset,64.13,87.48,47.16,80.41
set_transformer,61.34,89.1,44.03,80.17
deepset,45.7,82.85,42.88,79.98
set_transformer_xy,62.61,88.92,44.61,80.51
deepset_xy,44.31,83.13,43.17,80.17
set_transformer_additive,58.0,87.92,43.7,80.27
deepset_xy_additive,46.34,82.48,43.46,80.41
adaboost_deepset,46.32,83.39,44.13,81.76
adaboost_deepset_xy_additive,45.33,80.76,43.21,79.11
adaboost_deepset_xy,46.02,82.72,43.94,81.14
adaboost_set_transformer,53.06,84.62,45.81,81.86
adaboost_set_transformer_additive,48.47,83.01,46.78,80.46
adaboost_set_transformer_xy,51.6,84.38,44.56,82.1
soft_voting_ensemble_all,63.44,89.43,46.82,82.24
stacking_ensemble_all,70.47,94.78,47.26,83.06
gbm_ensemble_all,81.01,95.64,49.37,82.0
soft_voting_ensemble_set_transformer,66.82,91.37,46.15,82.96
stacking_ensemble_set_transformer,73.54,94.16,48.51,82.39
gbm_ensemble_set_transformer,79.63,94.62,48.85,82.24
soft_voting_ensemble_deepset,45.73,83.27,43.7,80.27
stacking_ensemble_deepset,48.26,84.37,46.2,82.96
gbm_ensemble_deepset,64.5,87.44,47.06,80.03
set_transformer,55.9,82.8,39.36,73.53
deepset,42.88,82.76,41.34,79.98
set_transformer_xy,59.45,85.37,41.29,76.37
deepset_xy,44.99,81.62,43.41,79.69
set_transformer_additive,56.03,85.49,44.47,79.26
deepset_xy_additive,42.76,79.46,41.43,77.57
adaboost_deepset,45.58,83.85,43.89,82.29
adaboost_deepset_xy_additive,44.56,81.1,43.55,79.26
adaboost_deepset_xy,46.31,83.66,44.8,81.71
adaboost_set_transformer,52.25,84.52,46.78,81.62
adaboost_set_transformer_additive,49.61,82.49,46.44,80.65
adaboost_set_transformer_xy,52.18,83.81,46.1,81.62
soft_voting_ensemble_all,61.32,87.05,45.77,80.41
stacking_ensemble_all,72.9,94.85,46.97,82.05
gbm_ensemble_all,81.76,96.02,48.85,82.05
soft_voting_ensemble_set_transformer,65.21,88.5,44.61,79.02
stacking_ensemble_set_transformer,74.3,94.04,47.83,81.18
gbm_ensemble_set_transformer,80.0,95.13,48.41,81.76
soft_voting_ensemble_deepset,43.83,81.67,42.4,79.16
stacking_ensemble_deepset,48.88,84.33,47.74,82.68
gbm_ensemble_deepset,64.24,87.48,46.92,81.23
set_transformer,60.93,87.22,42.4,78.87
deepset,45.54,84.15,43.21,81.62
set_transformer_xy,60.67,88.21,41.87,80.22
deepset_xy,46.58,83.56,43.31,80.99
set_transformer_additive,57.48,88.26,45.19,82.87
deepset_xy_additive,44.12,82.38,42.49,80.41
adaboost_deepset,47.39,82.41,46.44,81.95
adaboost_deepset_xy_additive,46.63,82.53,44.47,79.79
adaboost_deepset_xy,46.22,83.95,43.12,82.05
adaboost_set_transformer,53.18,84.67,46.68,81.09
adaboost_set_transformer_additive,48.29,84.46,44.47,82.63
adaboost_set_transformer_xy,52.47,84.13,46.49,81.14
soft_voting_ensemble_all,62.26,89.27,46.25,84.02
stacking_ensemble_all,71.06,94.85,48.7,84.65
gbm_ensemble_all,80.71,95.66,49.04,84.36
soft_voting_ensemble_set_transformer,66.47,91.4,45.43,84.26
stacking_ensemble_set_transformer,72.97,94.07,49.23,84.79
gbm_ensemble_set_transformer,79.61,94.99,49.62,84.26
soft_voting_ensemble_deepset,45.33,83.74,43.74,81.38
stacking_ensemble_deepset,48.47,84.43,46.82,82.63
gbm_ensemble_deepset,64.28,87.53,46.68,80.51
set_transformer,62.01,89.93,47.4,83.21
deepset,45.05,79.95,42.35,77.57
set_transformer_xy,63.95,90.07,45.28,81.14
deepset_xy,46.75,84.34,43.5,81.67
set_transformer_additive,56.91,88.76,47.69,82.63
deepset_xy_additive,45.96,82.44,43.46,81.09
adaboost_deepset,47.08,82.41,44.95,81.38
adaboost_deepset_xy_additive,44.97,82.25,43.98,79.93
adaboost_deepset_xy,47.09,82.35,46.25,81.28
adaboost_set_transformer,52.62,85.05,46.92,82.0
adaboost_set_transformer_additive,47.69,82.86,44.66,80.9
adaboost_set_transformer_xy,52.41,83.9,47.83,82.19
soft_voting_ensemble_all,64.03,90.16,48.89,84.26
stacking_ensemble_all,71.78,95.05,48.7,83.78
gbm_ensemble_all,80.87,95.64,48.85,84.07
soft_voting_ensemble_set_transformer,67.81,92.31,48.51,84.6
stacking_ensemble_set_transformer,72.79,94.36,49.04,84.55
gbm_ensemble_set_transformer,79.27,94.9,49.52,84.22
soft_voting_ensemble_deepset,46.33,82.84,43.65,80.65
stacking_ensemble_deepset,49.04,84.58,47.16,82.39
gbm_ensemble_deepset,64.74,87.61,46.82,80.08
set_transformer,62.88,90.29,47.5,82.29
deepset,44.95,81.74,42.49,78.92
set_transformer_xy,62.68,88.09,45.96,78.73
deepset_xy,45.92,83.47,43.98,81.76
set_transformer_additive,53.55,83.98,44.18,79.79
deepset_xy_additive,45.62,82.19,43.6,80.32
adaboost_deepset,47.63,83.1,46.54,81.38
adaboost_deepset_xy_additive,45.22,82.95,43.65,81.14
adaboost_deepset_xy,46.5,82.2,45.28,80.56
adaboost_set_transformer,52.59,84.66,46.49,81.14
adaboost_set_transformer_additive,46.99,82.05,43.74,81.14
adaboost_set_transformer_xy,52.19,84.81,46.1,81.86
soft_voting_ensemble_all,63.72,89.36,47.98,82.96
stacking_ensemble_all,70.84,94.87,47.83,83.4
gbm_ensemble_all,81.02,95.87,49.42,83.35
soft_voting_ensemble_set_transformer,67.95,91.93,49.09,82.72
stacking_ensemble_set_transformer,74.14,94.45,49.23,82.72
gbm_ensemble_set_transformer,79.49,95.1,48.7,83.45
soft_voting_ensemble_deepset,45.78,83.13,43.5,80.75
stacking_ensemble_deepset,48.74,84.72,47.59,82.53
gbm_ensemble_deepset,65.39,87.53,46.39,80.94
set_transformer,56.84,85.33,40.57,77.05
deepset,45.62,82.72,42.54,80.46
set_transformer_xy,61.37,87.79,43.17,79.07
deepset_xy,43.89,80.16,42.44,77.57
set_transformer_additive,57.12,87.65,46.68,80.85
deepset_xy_additive,45.62,82.26,43.84,80.03
adaboost_deepset,46.45,82.6,43.94,81.67
adaboost_deepset_xy_additive,45.7,82.38,44.23,80.37
adaboost_deepset_xy,46.55,83.32,45.57,82.39
adaboost_set_transformer,51.81,83.74,46.44,80.65
adaboost_set_transformer_additive,49.12,83.35,44.85,81.47
adaboost_set_transformer_xy,51.6,84.25,44.95,81.67
soft_voting_ensemble_all,61.62,88.21,46.2,82.72
stacking_ensemble_all,72.26,94.9,48.41,83.4
gbm_ensemble_all,81.3,95.74,48.85,83.11
soft_voting_ensemble_set_transformer,66.06,90.07,45.28,82.53
stacking_ensemble_set_transformer,74.32,94.38,49.09,83.16
gbm_ensemble_set_transformer,79.68,94.87,49.42,83.64
soft_voting_ensemble_deepset,45.04,82.11,42.88,79.69
stacking_ensemble_deepset,48.77,84.61,46.92,82.82
gbm_ensemble_deepset,64.79,87.57,46.68,80.61
set_transformer,63.44,89.99,45.28,80.7
deepset,46.32,83.13,44.71,81.67
set_transformer_xy,61.74,89.34,44.37,80.32
deepset_xy,44.67,82.58,42.49,80.22
set_transformer_additive,56.62,85.56,44.66,80.41
deepset_xy_additive,45.26,84.51,43.7,82.19
adaboost_deepset,46.06,84.1,44.32,82.39
adaboost_deepset_xy_additive,44.84,81.82,43.79,79.36
adaboost_deepset_xy,46.63,83.01,45.52,80.7
adaboost_set_transformer,52.95,84.33,47.26,82.34
adaboost_set_transformer_additive,48.8,83.41,44.9,81.14
adaboost_set_transformer_xy,52.8,84.24,47.16,81.95
soft_voting_ensemble_all,62.78,89.57,46.78,82.68
stacking_ensemble_all,70.05,95.14,46.78,83.49
gbm_ensemble_all,80.9,95.72,49.47,83.73
soft_voting_ensemble_set_transformer,66.88,91.85,47.45,82.92
stacking_ensemble_set_transformer,72.67,94.44,48.17,83.83
gbm_ensemble_set_transformer,79.28,94.99,48.6,83.78
soft_voting_ensemble_deepset,45.31,83.97,43.17,81.38
stacking_ensemble_deepset,48.36,84.43,47.45,82.92
gbm_ensemble_deepset,64.93,87.65,47.64,81.42
set_transformer,62.25,88.01,42.01,77.82
deepset,45.54,82.62,42.35,80.46
set_transformer_xy,63.21,89.29,45.62,79.11
deepset_xy,45.35,83.18,42.93,80.65
set_transformer_additive,58.13,86.58,45.48,80.75
deepset_xy_additive,45.67,82.74,43.74,80.9
adaboost_deepset,46.44,82.97,46.05,81.67
adaboost_deepset_xy_additive,44.75,82.64,44.18,80.46
adaboost_deepset_xy,47.38,83.15,45.52,81.91
adaboost_set_transformer,52.66,84.14,45.77,80.46
adaboost_set_transformer_additive,47.95,83.02,44.27,80.61
adaboost_set_transformer_xy,52.79,84.19,45.09,81.09
soft_voting_ensemble_all,63.51,88.92,45.57,81.76
stacking_ensemble_all,71.31,94.54,46.49,82.29
gbm_ensemble_all,80.71,95.54,48.94,82.05
soft_voting_ensemble_set_transformer,68.54,91.16,46.49,81.14
stacking_ensemble_set_transformer,73.66,93.65,47.16,82.63
gbm_ensemble_set_transformer,79.19,94.69,48.46,82.29
soft_voting_ensemble_deepset,45.42,83.51,42.73,80.9
stacking_ensemble_deepset,48.64,84.49,46.49,82.82
gbm_ensemble_deepset,64.12,87.21,47.26,80.51
set_transformer,63.74,89.29,45.72,80.22
deepset,41.55,78.29,39.27,76.42
set_transformer_xy,61.59,89.93,43.21,81.33
deepset_xy,47.03,84.49,43.5,83.11
set_transformer_additive,54.43,85.75,44.27,80.32
deepset_xy_additive,46.09,82.39,43.7,80.75
adaboost_deepset,45.35,83.86,43.98,82.77
adaboost_deepset_xy_additive,45.6,82.68,44.75,80.85
adaboost_deepset_xy,46.74,83.9,44.95,82.0
adaboost_set_transformer,52.23,84.65,46.25,81.33
adaboost_set_transformer_additive,49.19,82.96,44.47,80.9
adaboost_set_transformer_xy,52.67,84.6,46.78,82.34
soft_voting_ensemble_all,63.12,89.28,46.92,81.86
stacking_ensemble_all,70.66,94.93,47.74,82.96
gbm_ensemble_all,80.65,95.44,48.27,83.11
soft_voting_ensemble_set_transformer,67.73,91.53,46.92,82.15
stacking_ensemble_set_transformer,73.74,94.55,48.65,83.11
gbm_ensemble_set_transformer,79.41,94.97,49.04,83.69
soft_voting_ensemble_deepset,46.14,82.7,43.12,80.8
stacking_ensemble_deepset,48.51,84.61,47.26,82.82
gbm_ensemble_deepset,63.89,87.17,47.06,80.85
set_transformer,62.47,89.19,45.04,80.17
deepset,45.5,83.95,43.31,81.47
set_transformer_xy,57.81,85.17,40.66,76.37
deepset_xy,44.48,83.65,42.3,81.52
set_transformer_additive,54.99,86.14,43.36,80.37
deepset_xy_additive,44.81,82.48,42.3,80.46
adaboost_deepset,46.93,83.32,45.81,81.04
adaboost_deepset_xy_additive,45.29,81.77,44.23,79.11
adaboost_deepset_xy,46.38,83.13,45.62,81.23
adaboost_set_transformer,52.31,84.72,46.87,82.44
adaboost_set_transformer_additive,48.34,83.68,45.04,81.52
adaboost_set_transformer_xy,51.94,84.28,46.25,82.15
soft_voting_ensemble_all,62.09,88.62,46.2,83.21
stacking_ensemble_all,70.91,94.99,47.4,83.78
gbm_ensemble_all,80.52,95.75,46.78,82.72
soft_voting_ensemble_set_transformer,66.09,90.11,45.57,81.52
stacking_ensemble_set_transformer,73.72,94.57,47.98,83.4
gbm_ensemble_set_transformer,79.28,94.91,47.31,83.35
soft_voting_ensemble_deepset,45.27,83.67,43.12,81.71
stacking_ensemble_deepset,48.4,84.38,47.5,82.48
gbm_ensemble_deepset,64.5,87.46,45.52,80.61
