Model Type,Train Strict Accuracy (%),Train ±1 Grade Accuracy (%),Val Strict Accuracy (%),Val ±1 Grade Accuracy (%)
set_transformer,61.98,89.87,44.56,81.38
deepset,46.37,84.01,44.9,81.28
set_transformer_xy,62.42,88.62,42.88,78.3
deepset_xy,44.11,82.36,43.5,80.7
set_transformer_additive,55.55,85.75,44.42,80.9
deepset_xy_additive,44.69,84.56,43.21,82.39
set_transformer,60.15,87.56,42.25,77.82
deepset,42.85,80.15,42.88,79.64
set_transformer_xy,62.46,90.37,44.56,81.33
deepset_xy,45.59,83.5,43.74,81.47
set_transformer_additive,52.91,82.93,39.94,75.46
deepset_xy_additive,45.7,83.29,44.23,81.57
set_transformer,61.09,88.69,41.67,79.98
deepset,45.18,82.89,43.55,81.09
set_transformer_xy,63.79,91.28,46.49,82.39
deepset_xy,46.85,83.95,43.84,81.71
set_transformer_additive,54.61,84.31,43.12,80.37
deepset_xy_additive,45.33,81.23,44.32,79.21
set_transformer,61.75,87.94,43.6,78.39
deepset,44.95,82.48,43.07,80.51
set_transformer_xy,64.58,90.98,46.63,81.67
deepset_xy,45.29,83.11,44.56,80.13
set_transformer_additive,54.17,85.32,41.63,78.59
deepset_xy_additive,45.18,80.98,43.5,79.6
set_transformer,61.93,87.57,41.72,76.13
deepset,45.22,83.6,43.31,81.28
set_transformer_xy,61.8,87.55,43.6,78.49
deepset_xy,45.13,82.91,44.51,80.22
set_transformer_additive,56.55,86.52,44.37,81.47
deepset_xy_additive,46.42,83.49,45.28,80.37
set_transformer,62.09,89.44,45.19,80.17
deepset,46.43,84.05,44.32,81.62
set_transformer_xy,61.33,88.22,44.37,81.28
deepset_xy,47.36,84.42,45.86,82.1
set_transformer_additive,56.15,86.36,43.7,80.8
deepset_xy_additive,45.58,82.01,44.08,80.65
set_transformer,61.17,88.56,45.38,80.75
deepset,45.41,80.33,42.73,78.87
set_transformer_xy,61.2,87.27,44.08,79.6
deepset_xy,46.24,82.52,44.32,80.99
set_transformer_additive,50.27,85.59,41.34,81.38
deepset_xy_additive,45.42,83.55,43.17,80.61
set_transformer,60.55,87.2,42.3,78.39
deepset,44.86,82.43,43.12,80.51
set_transformer_xy,65.2,90.22,45.04,80.32
deepset_xy,45.06,83.28,44.23,81.33
set_transformer_additive,56.44,86.58,43.02,80.32
